"module1"	"module2"	"Both"	"P1A2"	"P2A1"	"A1A2"	"p_raw"	"p_adj"
"2009_controlandwarm_M4-2010_control_M18"	"2009_controlandwarm_M4"	"2010_control_M18"	"14"	"7"	"2"	"967"	"1.51519314651403e-24"	"3.74252707188966e-22"
"2009_controlandwarm_M4-2011_control_M8"	"2009_controlandwarm_M4"	"2011_control_M8"	"10"	"11"	"0"	"855"	"5.06451505397308e-18"	"1.316773914033e-15"
"2009_controlandwarm_M4-2012_control_M17"	"2009_controlandwarm_M4"	"2012_control_M17"	"10"	"11"	"2"	"990"	"7.6082314989722e-17"	"1.78032617075949e-14"
"2009_controlandwarm_M4-2013_control_M16"	"2009_controlandwarm_M4"	"2013_control_M16"	"13"	"8"	"2"	"981"	"1.34529295238387e-22"	"3.67264976000796e-20"
"2009_controlandwarm_M4-2014_control_M20"	"2009_controlandwarm_M4"	"2014_control_M20"	"12"	"9"	"0"	"973"	"1.61767984307802e-22"	"3.9956692124027e-20"
"2009_controlandwarm_M1-2014_control_M1"	"2009_controlandwarm_M1"	"2014_control_M1"	"14"	"17"	"72"	"891"	"3.71769170164357e-08"	"9.18269850305962e-06"
"2010_control_M18-2011_control_M8"	"2010_control_M18"	"2011_control_M8"	"9"	"7"	"1"	"920"	"7.69681135318781e-17"	"2.92478831421137e-14"
"2010_control_M6-2011_control_M19"	"2010_control_M6"	"2011_control_M19"	"4"	"13"	"2"	"918"	"1.09387344269417e-06"	"0.000415671908223786"
"2010_control_M18-2012_control_M17"	"2010_control_M18"	"2012_control_M17"	"9"	"7"	"3"	"1052"	"5.00478274828114e-16"	"1.71163569991215e-13"
"2010_control_M0-2012_control_M3"	"2010_control_M0"	"2012_control_M3"	"8"	"44"	"26"	"993"	"0.000122757501871076"	"0.0419830656399081"
"2010_control_M5-2012_control_M4"	"2010_control_M5"	"2012_control_M4"	"8"	"9"	"77"	"977"	"1.53692059102996e-05"	"0.00525626842132246"
"2010_control_M18-2013_control_M16"	"2010_control_M18"	"2013_control_M16"	"12"	"4"	"3"	"1048"	"1.91794229241613e-22"	"7.65258974674035e-20"
"2010_control_M18-2014_control_M20"	"2010_control_M18"	"2014_control_M20"	"11"	"5"	"1"	"1039"	"1.20531997001682e-21"	"4.35120509176072e-19"
"2011_control_M8-2012_control_M17"	"2011_control_M8"	"2012_control_M17"	"8"	"2"	"4"	"924"	"1.53244736087074e-15"	"5.51681049913465e-13"
"2011_control_M4-2012_control_M3"	"2011_control_M4"	"2012_control_M3"	"5"	"10"	"29"	"894"	"0.000107339193757721"	"0.0386421097527794"
"2011_control_M0-2012_control_M4"	"2011_control_M0"	"2012_control_M4"	"15"	"42"	"70"	"811"	"6.54719850175311e-05"	"0.0235699146063112"
"2011_control_M19-2012_control_M10"	"2011_control_M19"	"2012_control_M10"	"3"	"3"	"5"	"927"	"8.0707136760023e-06"	"0.00290545692336083"
"2011_control_M2-2012_control_M8"	"2011_control_M2"	"2012_control_M8"	"8"	"56"	"7"	"867"	"1.34311775251702e-06"	"0.000483522390906128"
"2011_control_M8-2013_control_M16"	"2011_control_M8"	"2013_control_M16"	"9"	"1"	"6"	"948"	"2.60781926301848e-17"	"1.09528409046776e-14"
"2011_control_M8-2014_control_M20"	"2011_control_M8"	"2014_control_M20"	"8"	"2"	"4"	"918"	"1.61340432043083e-15"	"6.13093641763716e-13"
