sample_name	NO3_N	NH4_N	TN	TC	pH	FlC3	FlC4	FlTotl	plant_richness	annual_moisture	temperature_annual
X14_10N_H_N_1	15.61	4.22	0.092	0.714	6.1	10.692	58.191	68.883	5	5.21	19.31363687
X14_10S_H_C_1	6.56	4.25	0.101	0.915	6.09	43.065	26.555	69.62	8	4.578333333	19.30389313
X14_15N_H_N_0	21.36	2.56	0.077	0.661	6.24	9.052	116.811	125.863	4	4.062	20.69737106
X14_15S_H_C_0	11.87	2.61	0.066	0.567	6.25	0	88.665	88.665	6	3.106	21.3164968
X14_16N_H_N_1	49.09	10.95	0.115	1.004	5.79	10.692	75.285	85.977	2	5.026	20.74372325
X14_16S_H_C_1	15.83	4.22	0.115	1.112	5.93	17.605	46.015	63.62	5	4.478	20.8744339
X14_18N_H_N_0	16.03	4.09	0.114	1.163	6.2	18.892	163.951	182.843	5	3.84	19.35494103
X14_18S_H_C_0	12.65	2.31	0.08	0.711	6.23	1.125	104.775	105.9	4	3.574	20.95541286
X14_1N_H_N_1	9.93	4.07	0.083	0.727	5.81	27.092	98.771	125.863	4	2.941666667	17.95128161
X14_1S_H_C_1	21.33	3.68	0.084	0.692	5.71	4.055	7.935	11.99	8	4.523333333	19.54673804
X14_20N_H_N_1	28.89	3.31	0.091	0.834	5.66	10.692	132.265	142.957	4	4.77	17.8
X14_20S_H_C_1	29.71	4.36	0.119	1.184	5.79	0	208.845	208.845	4	6.096	20.47139918
X14_21N_H_N_2	38.2	9.21	0.083	0.707	5.47	12.332	170.511	182.843	4	4.128	20.50417675
X14_21S_H_C_2	4.72	4.65	0.104	1.057	5.87	0	433.595	433.595	3	5.642	20.48210353
X14_22N_H_N_2	6.64	3.51	0.089	0.868	6.05	30.372	106.887	137.259	2	4.608	19.47751827
X14_22S_H_C_2	5.23	4.36	0.102	1.005	6.28	33.365	200.835	234.2	5	5.47	20.01111243
X14_2N_H_N_0	48.55	11.35	0.093	0.775	5.42	9.052	99.717	108.769	4	3.445	18.3324099
X14_2S_H_C_0	30.56	3.12	0.129	1.288	5.75	3.375	205.425	208.8	2	3.006666667	20.50135279
X14_4N_H_N_2	9.26	2.88	0.076	0.612	5.84	45.132	143.409	188.541	5	4.461666667	19.41668254
X14_4S_H_C_2	3.6	2.85	0.077	0.658	6.03	43.205	111.395	154.6	6	4.75	20.09304644
X14_5N_H_N_0	17.49	2.43	0.088	0.745	5.83	13.972	94.797	108.769	6	4.373333333	20.64103222
X14_5s_H_C_0	3.81	2.85	0.101	0.931	6.15	1.345	78.195	79.54	5	3.856666667	20.99453689
X14_7N_H_N_2	6.39	3.26	0.066	0.512	6.05	9.052	179.489	188.541	6	5.45	19.50126087
X14_7S_H_C_2	1.32	3.1	0.077	0.688	6.3	4.735	175.245	179.98	4	6.541666667	20.31036711
