Sample	Plot_full_name	Plot_ID	Warming	Clipping	Precip	Year
X09_10S_H_C_1	10S_H_C_1	S10	NW	C	P1	Y09
X09_11S_N_C_0	11S_N_C_0	S11	NW	C	P0	Y09
X09_12S_N_C_2	12S_N_C_2	S12	NW	C	P2	Y09
X09_13S_N_C_0	13S_N_C_0	S13	NW	C	P0	Y09
X09_14S_N_C_2	14S_N_C_2	S14	NW	C	P2	Y09
X09_15S_H_C_0	15S_H_C_0	S15	NW	C	P0	Y09
X09_16S_H_C_1	16S_H_C_1	S16	NW	C	P1	Y09
X09_17S_N_C_2	17S_N_C_2	S17	NW	C	P2	Y09
X09_18S_H_C_0	18S_H_C_0	S18	NW	C	P0	Y09
X09_19S_N_C_1	19S_N_C_1	S19	NW	C	P1	Y09
X09_1S_H_C_1	1S_H_C_1	S01	NW	C	P1	Y09
X09_20S_H_C_1	20S_H_C_1	S20	NW	C	P1	Y09
X09_21S_H_C_2	21S_H_C_2	S21	NW	C	P2	Y09
X09_22S_H_C_2	22S_H_C_2	S22	NW	C	P2	Y09
X09_23S_N_C_1	23S_N_C_1	S23	NW	C	P1	Y09
X09_24S_N_C_0	24S_N_C_0	S24	NW	C	P0	Y09
X09_2S_H_C_0	2S_H_C_0	S02	NW	C	P0	Y09
X09_3S_N_C_1	3S_N_C_1	S03	NW	C	P1	Y09
X09_4S_H_C_2	4S_H_C_2	S04	NW	C	P2	Y09
X09_5s_H_C_0	5s_H_C_0	S05	NW	C	P0	Y09
X09_6S_N_C_1	6S_N_C_1	S06	NW	C	P1	Y09
X09_7S_H_C_2	7S_H_C_2	S07	NW	C	P2	Y09
X09_8S_N_C_0	8S_N_C_0	S08	NW	C	P0	Y09
X09_9S_N_C_2	9S_N_C_2	S09	NW	C	P2	Y09
X10_10N_H_N_1	10N_H_N_1	N10	W	N	P1	Y10
X10_10S_H_C_1	10S_H_C_1	S10	W	C	P1	Y10
X10_11N_N_N_0	11N_N_N_0	N11	N	N	P0	Y10
X10_11S_N_C_0	11S_N_C_0	S11	N	C	P0	Y10
X10_12N_N_N_2	12N_N_N_2	N12	N	N	P2	Y10
X10_12S_N_C_2	12S_N_C_2	S12	N	C	P2	Y10
X10_13N_N_N_0	13N_N_N_0	N13	N	N	P0	Y10
X10_13S_N_C_0	13S_N_C_0	S13	N	C	P0	Y10
X10_14N_N_N_2	14N_N_N_2	N14	N	N	P2	Y10
X10_14S_N_C_2	14S_N_C_2	S14	N	C	P2	Y10
X10_15N_H_N_0	15N_H_N_0	N15	W	N	P0	Y10
X10_15S_H_C_0	15S_H_C_0	S15	W	C	P0	Y10
X10_16N_H_N_1	16N_H_N_1	N16	W	N	P1	Y10
X10_16S_H_C_1	16S_H_C_1	S16	W	C	P1	Y10
X10_17N_N_N_2	17N_N_N_2	N17	N	N	P2	Y10
X10_17S_N_C_2	17S_N_C_2	S17	N	C	P2	Y10
X10_18N_H_N_0	18N_H_N_0	N18	W	N	P0	Y10
X10_18S_H_C_0	18S_H_C_0	S18	W	C	P0	Y10
X10_19N_N_N_1	19N_N_N_1	N19	N	N	P1	Y10
X10_19S_N_C_1	19S_N_C_1	S19	N	C	P1	Y10
X10_1N_H_N_1	1N_H_N_1	N01	W	N	P1	Y10
X10_1S_H_C_1	1S_H_C_1	S01	W	C	P1	Y10
X10_20N_H_N_1	20N_H_N_1	N20	W	N	P1	Y10
X10_20S_H_C_1	20S_H_C_1	S20	W	C	P1	Y10
X10_21N_H_N_2	21N_H_N_2	N21	W	N	P2	Y10
X10_21S_H_C_2	21S_H_C_2	S21	W	C	P2	Y10
X10_22N_H_N_2	22N_H_N_2	N22	W	N	P2	Y10
X10_22S_H_C_2	22S_H_C_2	S22	W	C	P2	Y10
X10_23N_N_N_1	23N_N_N_1	N23	N	N	P1	Y10
X10_23S_N_C_1	23S_N_C_1	S23	N	C	P1	Y10
X10_24N_N_N_0	24N_N_N_0	N24	N	N	P0	Y10
X10_24S_N_C_0	24S_N_C_0	S24	N	C	P0	Y10
X10_2N_H_N_0	2N_H_N_0	N02	W	N	P0	Y10
X10_2S_H_C_0	2S_H_C_0	S02	W	C	P0	Y10
X10_3N_N_N_1	3N_N_N_1	N03	N	N	P1	Y10
X10_3S_N_C_1	3S_N_C_1	S03	N	C	P1	Y10
X10_4N_H_N_2	4N_H_N_2	N04	W	N	P2	Y10
X10_4S_H_C_2	4S_H_C_2	S04	W	C	P2	Y10
X10_5N_H_N_0	5N_H_N_0	N05	W	N	P0	Y10
X10_5s_H_C_0	5s_H_C_0	S05	W	C	P0	Y10
X10_6N_N_N_1	6N_N_N_1	N06	N	N	P1	Y10
X10_6S_N_C_1	6S_N_C_1	S06	N	C	P1	Y10
X10_7N_H_N_2	7N_H_N_2	N07	W	N	P2	Y10
X10_7S_H_C_2	7S_H_C_2	S07	W	C	P2	Y10
X10_8N_N_N_0	8N_N_N_0	N08	N	N	P0	Y10
X10_8S_N_C_0	8S_N_C_0	S08	N	C	P0	Y10
