node1	node2	sign	year_trt	edge
X16S_1	X16S_11791	 1	2009_controlandwarm	X16S_1__X16S_11791
X16S_1	X16S_14493	 1	2009_controlandwarm	X16S_1__X16S_14493
X16S_1	X16S_14736	 1	2009_controlandwarm	X16S_1__X16S_14736
X16S_1	X16S_225	 1	2009_controlandwarm	X16S_1__X16S_225
X16S_1	X16S_2293	 1	2009_controlandwarm	X16S_1__X16S_2293
X16S_1	X16S_24090	 1	2009_controlandwarm	X16S_1__X16S_24090
X16S_1	X16S_5	 1	2009_controlandwarm	X16S_1__X16S_5
X16S_1	X16S_50	 1	2009_controlandwarm	X16S_1__X16S_50
X16S_1	X16S_5886	 1	2009_controlandwarm	X16S_1__X16S_5886
X16S_1	X16S_597	 1	2009_controlandwarm	X16S_1__X16S_597
X16S_1	X16S_8100	 1	2009_controlandwarm	X16S_1__X16S_8100
X16S_1	X16S_944	 1	2009_controlandwarm	X16S_1__X16S_944
X16S_10	X16S_66	 1	2009_controlandwarm	X16S_10__X16S_66
X16S_10030	X16S_10664	-1	2009_controlandwarm	X16S_10030__X16S_10664
X16S_10047	X16S_26052	-1	2009_controlandwarm	X16S_10047__X16S_26052
X16S_966	X16S_10047	-1	2009_controlandwarm	X16S_966__X16S_10047
X16S_2134	X16S_10091	-1	2009_controlandwarm	X16S_2134__X16S_10091
X16S_2340	X16S_10091	-1	2009_controlandwarm	X16S_2340__X16S_10091
X16S_2712	X16S_10091	-1	2009_controlandwarm	X16S_2712__X16S_10091
X16S_1013	X16S_2178	-1	2009_controlandwarm	X16S_1013__X16S_2178
X16S_721	X16S_1013	-1	2009_controlandwarm	X16S_721__X16S_1013
X16S_1017	X16S_1829	 1	2009_controlandwarm	X16S_1017__X16S_1829
X16S_1017	X16S_2791	 1	2009_controlandwarm	X16S_1017__X16S_2791
X16S_1017	X16S_6522	 1	2009_controlandwarm	X16S_1017__X16S_6522
X16S_1017	X16S_8849	 1	2009_controlandwarm	X16S_1017__X16S_8849
X16S_977	X16S_1017	 1	2009_controlandwarm	X16S_977__X16S_1017
X16S_104	X16S_4973	 1	2009_controlandwarm	X16S_104__X16S_4973
X16S_1045	X16S_3835	-1	2009_controlandwarm	X16S_1045__X16S_3835
