Name	node.degree	node.betw	node.stress	node.evcent	Clustering.Coefficient	No..module	Zi	Pi	Domain	Phylum	Class	Order	Family	Genus	Domain_Phylum	year_trt
X16S_1	12	22.43235931	69	0.34986544	0.575757576	4	1.497	0	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae 1	Bacillus	Bacteria_Firmicutes	2009_controlandwarm
X16S_10	1	0	0	1.91e-30	0	151	0	0	Bacteria	Proteobacteria	Unclassified	Unclassified	Unclassified	Unclassified	Bacteria_Proteobacteria	2009_controlandwarm
X16S_10030	1	0	0	2.74e-23	0	20	-0.577	0	Bacteria	Verrucomicrobia	Spartobacteria	Unclassified	Unclassified	Spartobacteria_genera_incertae_sedis	Bacteria_Verrucomicrobia	2009_controlandwarm
X16S_10047	2	5	5	3.26e-22	0	8	0.632	0	Bacteria	Verrucomicrobia	Subdivision3	Unclassified	Unclassified	Subdivision3_genera_incertae_sedis	Bacteria_Verrucomicrobia	2009_controlandwarm
X16S_10091	3	3	3	8.22e-23	0	19	1.732	0	Bacteria	Proteobacteria	Gammaproteobacteria	Unclassified	Unclassified	Unclassified	Bacteria_Proteobacteria	2009_controlandwarm
X16S_1013	2	6	6	3.07e-20	0	7	0.258	0	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Kofleriaceae	Kofleria	Bacteria_Proteobacteria	2009_controlandwarm
X16S_1017	5	565	565	4.68e-12	0	2	2.017	0.32	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiales_incertae_sedis	Bauldia	Bacteria_Proteobacteria	2009_controlandwarm
X16S_104	1	0	0	1.05e-13	0	0	-0.533	0	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Unclassified	Unclassified	Bacteria_Proteobacteria	2009_controlandwarm
X16S_1045	1	0	0	1.91e-30	0	116	0	0	Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Bacteria_Unclassified	2009_controlandwarm
X16S_1046	2	1.533333333	5	0.040073578	0	4	-0.959	0	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae 1	Bacillus	Bacteria_Firmicutes	2009_controlandwarm
X16S_1055	1	0	0	1.91e-30	0	82	0	0	Bacteria	Actinobacteria	Actinobacteria	Unclassified	Unclassified	Unclassified	Bacteria_Actinobacteria	2009_controlandwarm
X16S_10563	2	1	1	1.25e-25	0	32	0	0	Bacteria	Acidobacteria	Acidobacteria_Gp3	Unclassified	Unclassified	Gp3	Bacteria_Acidobacteria	2009_controlandwarm
X16S_106	1	0	0	1.91e-30	0	80	0	0	Bacteria	Actinobacteria	Actinobacteria	Solirubrobacterales	Solirubrobacteraceae	Solirubrobacter	Bacteria_Actinobacteria	2009_controlandwarm
X16S_1065	1	0	0	1.91e-30	0	51	0	0	Bacteria	Proteobacteria	Deltaproteobacteria	Unclassified	Unclassified	Unclassified	Bacteria_Proteobacteria	2009_controlandwarm
X16S_10664	3	3	3	8.22e-23	0	20	1.732	0	Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Bacteria_Unclassified	2009_controlandwarm
X16S_1067	1	0	0	1.91e-30	0	150	0	0	Bacteria	Proteobacteria	Gammaproteobacteria	Unclassified	Unclassified	Unclassified	Bacteria_Proteobacteria	2009_controlandwarm
X16S_10723	2	47	47	1.28e-12	0	0	-0.057	0	Bacteria	Proteobacteria	Betaproteobacteria	Unclassified	Unclassified	Unclassified	Bacteria_Proteobacteria	2009_controlandwarm
X16S_10998	3	92	92	3.97e-13	0.333333333	0	0.418	0	Bacteria	Acidobacteria	Acidobacteria_Gp5	Unclassified	Unclassified	Gp5	Bacteria_Acidobacteria	2009_controlandwarm
X16S_1113	1	0	0	1.91e-30	0	107	0	0	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Blastochloris	Bacteria_Proteobacteria	2009_controlandwarm
X16S_1116	2	1	1	1.25e-25	0	26	0	0	Bacteria	Planctomycetes	Planctomycetacia	Planctomycetales	Planctomycetaceae	Singulisphaera	Bacteria_Planctomycetes	2009_controlandwarm
X16S_11276	3	137	137	4.33e-13	0	2	1.068	0	Bacteria	Acidobacteria	Acidobacteria_Gp2	Unclassified	Unclassified	Gp2	Bacteria_Acidobacteria	2009_controlandwarm
X16S_11370	1	0	0	1.91e-30	0	126	0	0	Bacteria	Bacteroidetes	Unclassified	Unclassified	Unclassified	Unclassified	Bacteria_Bacteroidetes	2009_controlandwarm
X16S_1139	1	0	0	2.74e-23	0	23	-0.577	0	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micromonosporaceae	Catelliglobosispora	Bacteria_Actinobacteria	2009_controlandwarm
X16S_1150	1	0	0	2.74e-23	0	23	-0.577	0	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Unclassified	Bacteria_Proteobacteria	2009_controlandwarm
