Name	node.degree	node.betw	node.stress	node.evcent	Clustering.Coefficient	No. module	Zi	Pi	Domain	Phylum	Class	Order	Family	Genus	Domain_Phylum
X16S_1	7	19.16666667	25	8.39E-54	0.238095238	15	2.236	0	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae 1	Bacillus	Bacteria_Firmicutes
X16S_10	27	6290.679277	63390	0.198303645	0.182336182	3	2.513	0.37	Bacteria	Proteobacteria	Unclassified	Unclassified	Unclassified	Unclassified	Bacteria_Proteobacteria
X16S_100	1	0	0	6.22E-108	0	34	0	0	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Cystobacteraceae	Anaeromyxobacter	Bacteria_Proteobacteria
X16S_1003	2	766.0754864	4871	0.006040241	0	1	-0.615	0.5	Bacteria	Verrucomicrobia	Subdivision3	Unclassified	Unclassified	Subdivision3_genera_incertae_sedis	Bacteria_Verrucomicrobia
X16S_1008	5	34.98446057	257	0.010619505	0.6	0	-0.154	0	Bacteria	Acidobacteria	Acidobacteria_Gp1	Unclassified	Unclassified	Gp1	Bacteria_Acidobacteria
X16S_1009	1	0	0	0.00069908	0	1	-0.615	0	Bacteria	Gemmatimonadetes	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	Gemmatimonas	Bacteria_Gemmatimonadetes
X16S_10102	2	379.9990895	2310	7.67E-05	0	11	0.377	0	Bacteria	Proteobacteria	Gammaproteobacteria	Unclassified	Unclassified	Unclassified	Bacteria_Proteobacteria
X16S_10115	1	0	0	2.02E-05	0	1	-0.615	0	Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Bacteria_Unclassified
X16S_1012	2	16548	129167	3.19E-06	0	2	-0.161	0	Bacteria	Actinobacteria	Actinobacteria	Solirubrobacterales	Unclassified	Unclassified	Bacteria_Actinobacteria
X16S_1016	1	0	0	6.22E-108	0	55	0	0	Bacteria	Chloroflexi	Ktedonobacteria	Unclassified	Unclassified	Unclassified	Bacteria_Chloroflexi
X16S_1019	1	0	0	3.88E-07	0	12	-0.811	0	Bacteria	Actinobacteria	Actinobacteria	Acidimicrobiales	Unclassified	Unclassified	Bacteria_Actinobacteria
X16S_102	4	1833.231416	20557	0.000869456	0.333333333	10	0.725	0.375	Bacteria	Acidobacteria	Acidobacteria_Gp1	Unclassified	Unclassified	Gp1	Bacteria_Acidobacteria
X16S_1026	3	132.4770417	1894	0.000214213	0	1	-0.093	0	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Unclassified	Bacteria_Proteobacteria
X16S_1027	1	0	0	6.22E-108	0	47	0	0	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rubellimicrobium	Bacteria_Proteobacteria
X16S_103	11	4040.003308	26897	0.049328841	0.272727273	3	-0.073	0.694	Bacteria	Proteobacteria	Alphaproteobacteria	Unclassified	Unclassified	Unclassified	Bacteria_Proteobacteria
X16S_1031	2	618	3871	2.53E-05	0	4	0	0	Bacteria	Actinobacteria	Actinobacteria	Acidimicrobiales	Acidimicrobineae_incertae_sedis	Aciditerrimonas	Bacteria_Actinobacteria
X16S_10345	1	0	0	4.33E-05	0	2	-0.838	0	Bacteria	Actinobacteria	Actinobacteria	Solirubrobacterales	Solirubrobacteraceae	Solirubrobacter	Bacteria_Actinobacteria
X16S_1046	2	618	3989	4.25E-05	0	16	0.816	0	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae 1	Bacillus	Bacteria_Firmicutes
X16S_10488	6	306.5924315	3082	0.010607143	0.333333333	0	0.032	0	Bacteria	Actinobacteria	Actinobacteria	Unclassified	Unclassified	Unclassified	Bacteria_Actinobacteria
X16S_1049	1	0	0	4.38E-94	0	28	0	0	Bacteria	Proteobacteria	Betaproteobacteria	Rhodocyclales	Rhodocyclaceae	Unclassified	Bacteria_Proteobacteria
X16S_105	1	0	0	0.000811755	0	10	-0.989	0	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Thermomonosporaceae	Actinoallomurus	Bacteria_Actinobacteria
X16S_1057	1	0	0	0.014351383	0	3	-0.719	0	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Unclassified	Unclassified	Bacteria_Actinobacteria
X16S_1059	1	0	0	2.03E-05	0	1	-0.615	0	Bacteria	Acidobacteria	Acidobacteria_Gp6	Unclassified	Unclassified	Gp6	Bacteria_Acidobacteria
X16S_106	12	2080.150375	20636	0.05837037	0.303030303	5	1.657	0.486	Bacteria	Actinobacteria	Actinobacteria	Solirubrobacterales	Solirubrobacteraceae	Solirubrobacter	Bacteria_Actinobacteria
X16S_1065	1	0	0	0.000796855	0	1	-0.615	0	Bacteria	Proteobacteria	Deltaproteobacteria	Unclassified	Unclassified	Unclassified	Bacteria_Proteobacteria
X16S_10681	2	0	0	0.007329423	1	5	-0.342	0	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Salinarimonas	Bacteria_Proteobacteria
X16S_1084	4	160.1954776	1366	0.016504187	0	3	-0.396	0.375	Bacteria	Verrucomicrobia	Spartobacteria	Unclassified	Unclassified	Spartobacteria_genera_incertae_sedis	Bacteria_Verrucomicrobia
X16S_1087	9	3946.595188	31814	0.002854728	0	1	0.688	0.493	Bacteria	Planctomycetes	Planctomycetacia	Planctomycetales	Planctomycetaceae	Planctomyces	Bacteria_Planctomycetes
X16S_1088	2	2460	15764	0.003577328	0	19	-0.5	0.5	Bacteria	Acidobacteria	Acidobacteria_Gp1	Unclassified	Unclassified	Gp1	Bacteria_Acidobacteria
X16S_1092	1	0	0	1.58E-05	0	1	-0.615	0	Bacteria	Planctomycetes	Planctomycetacia	Planctomycetales	Planctomycetaceae	Blastopirellula	Bacteria_Planctomycetes
X16S_1097	1	0	0	4.52E-16	0	2	-0.838	0	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micrococcaceae	Unclassified	Bacteria_Actinobacteria
X16S_10998	8	426.8864135	6447	0.055102657	0.428571429	3	0.411	0	Bacteria	Acidobacteria	Acidobacteria_Gp5	Unclassified	Unclassified	Gp5	Bacteria_Acidobacteria
X16S_11	10	104.9354984	1553	0.106071321	0.533333333	3	0.735	0	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Unclassified	Unclassified	Bacteria_Proteobacteria
X16S_110	3	1802.5	10506	9.73E-11	0.333333333	2	0.515	0	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Pseudonocardiaceae	Pseudonocardia	Bacteria_Actinobacteria
X16S_1101	11	1732.051885	18043	0.028071779	0.418181818	0	0.965	0	Bacteria	Acidobacteria	Acidobacteria_Gp1	Unclassified	Unclassified	Granulicella	Bacteria_Acidobacteria
X16S_1103	2	0	0	0.026035914	1	3	-0.558	0	Bacteria	Actinobacteria	Actinobacteria	Unclassified	Unclassified	Unclassified	Bacteria_Actinobacteria
X16S_11032	1	0	0	6.22E-108	0	56	0	0	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Cystobacteraceae	Anaeromyxobacter	Bacteria_Proteobacteria
X16S_11054	2	256.1884799	1448	0.000260447	0	8	-0.826	0.5	Bacteria	Proteobacteria	Unclassified	Unclassified	Unclassified	Unclassified	Bacteria_Proteobacteria
X16S_11073	1	0	0	0.007670226	0	3	-0.719	0	Bacteria	Actinobacteria	Actinobacteria	Solirubrobacterales	Unclassified	Unclassified	Bacteria_Actinobacteria
X16S_1108	1	0	0	6.22E-108	0	44	0	0	Bacteria	Gemmatimonadetes	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	Gemmatimonas	Bacteria_Gemmatimonadetes
X16S_111	6	1850.625	13457	0.026491501	0.333333333	8	1.34	0.277	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Unclassified	Unclassified	Bacteria_Proteobacteria
X16S_1114	1	0	0	4.38E-94	0	26	0	0	Bacteria	Gemmatimonadetes	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	Gemmatimonas	Bacteria_Gemmatimonadetes
X16S_112	5	9015.666667	84032	9.85E-11	0.3	2	1.869	0	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micromonosporaceae	Micromonospora	Bacteria_Actinobacteria
X16S_11276	7	6622.192477	67943	0.003402762	0	1	0.688	0.244	Bacteria	Acidobacteria	Acidobacteria_Gp2	Unclassified	Unclassified	Gp2	Bacteria_Acidobacteria
X16S_113	1	0	0	6.22E-108	0	49	0	0	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Phenylobacterium	Bacteria_Proteobacteria
X16S_114	25	6398.996603	57600	0.152600656	0.186666667	5	2.991	0.627	Bacteria	Acidobacteria	Acidobacteria_Gp6	Unclassified	Unclassified	Gp6	Bacteria_Acidobacteria
X16S_1140	2	61.54274437	1225	0.00030245	0	1	-0.354	0	Bacteria	Actinobacteria	Actinobacteria	Acidimicrobiales	Unclassified	Unclassified	Bacteria_Actinobacteria
X16S_11446	3	380.4263843	4997	0.002394772	0	3	-0.719	0.444	Bacteria	Acidobacteria	Acidobacteria_Gp7	Unclassified	Unclassified	Gp7	Bacteria_Acidobacteria
X16S_1149	7	2216.500226	23215	0.002084283	0	1	0.949	0	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Unclassified	Bacteria_Proteobacteria
X16S_115	2	618	4486	0.001921005	0	8	-0.285	0	Bacteria	Proteobacteria	Deltaproteobacteria	Unclassified	Unclassified	Unclassified	Bacteria_Proteobacteria
X16S_116	4	1848.666667	8381	0.00867546	0.333333333	0	-0.341	0	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acidisoma	Bacteria_Proteobacteria
X16S_11622	1	0	0	0.000203215	0	1	-0.615	0	Bacteria	Acidobacteria	Acidobacteria_Gp6	Unclassified	Unclassified	Gp6	Bacteria_Acidobacteria
