OTU	X14_10N_H_N_1	X14_10S_H_C_1	X14_15N_H_N_0	X14_15S_H_C_0	X14_16N_H_N_1	X14_16S_H_C_1	X14_18N_H_N_0	X14_18S_H_C_0	X14_1N_H_N_1	X14_1S_H_C_1	X14_20N_H_N_1	X14_20S_H_C_1	X14_21N_H_N_2	X14_21S_H_C_2	X14_22N_H_N_2	X14_22S_H_C_2	X14_2N_H_N_0	X14_2S_H_C_0	X14_4N_H_N_2	X14_4S_H_C_2	X14_5N_H_N_0	X14_5S_H_C_0	X14_7N_H_N_2	X14_7S_H_C_2
X16S_1	1028	1491	1493	1269	1410	428	503	471	1162	716	465	912	1849	983	100	577	669	296	896	1802	455	2755	786	1716
X16S_2	2106	1313	180	466	384	487	1665	786	809	838	1019	859	912	1424	1239	1971	367	474	1113	710	1055	666	633	930
X16S_3	608	150	8	13	48	269	25	120	80	336	21	174	43	298	292	405	37	270	388	470	637	550	968	488
X16S_4	311	140	563	746	404	490	285	662	587	546	594	721	365	442	112	229	954	814	391	353	536	339	305	370
X16S_5	598	576	796	772	1157	837	627	599	457	476	1370	486	732	522	160	257	1241	411	503	695	517	1185	538	671
X16S_6	0	28	3	27	0	1	42	3	6	1	2	147	1	128	1	147	2	12	11	27	0	18	77	81
X16S_7	132	273	61	143	187	88	216	242	90	54	220	172	767	308	210	109	22	93	35	63	65	26	16	18
X16S_8	109	244	273	293	332	220	225	203	147	275	169	467	173	340	308	215	104	177	197	270	138	297	210	393
X16S_9	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	1
X16S_10	272	134	23	40	92	298	91	201	92	200	63	98	114	183	236	204	73	255	147	197	294	194	336	161
X16S_11	208	115	33	50	79	128	149	114	102	134	158	105	166	111	145	179	81	90	144	189	124	175	254	201
X16S_12	280	6	0	2	63	139	0	2	15	62	0	12	45	62	103	127	16	80	146	17	115	71	165	112
X16S_13	81	106	41	57	173	162	71	125	75	113	116	121	40	53	45	39	112	146	78	50	128	122	165	68
X16S_14	295	163	1073	851	55	117	358	343	381	118	390	77	156	125	39	48	328	67	791	227	142	73	10	728
X16S_15	103	83	762	943	247	169	151	298	235	203	207	194	138	94	22	58	735	263	183	132	178	85	61	103
X16S_16	66	69	5	10	55	97	34	55	29	64	84	45	52	72	49	85	27	45	73	114	57	72	71	64
X16S_17	253	104	201	174	84	160	186	172	110	102	148	146	80	110	68	106	134	94	181	123	127	108	92	180
X16S_18	70	122	35	78	52	164	74	181	63	89	47	139	65	169	86	222	34	149	86	106	106	132	144	202
X16S_19	1	3	1	8	34	0	17	1	26	11	0	22	0	94	92	47	1	1	0	35	0	4	27	35
X16S_20	135	85	39	84	48	132	49	305	114	65	31	92	36	132	115	109	36	114	171	84	137	101	70	59
X16S_21	401	159	351	319	66	102	410	167	210	188	292	141	197	195	63	158	163	88	338	232	185	96	20	362
X16S_22	96	48	7	29	18	64	37	62	39	50	19	43	26	52	49	57	16	55	80	74	89	50	102	118
X16S_23	109	28	35	38	43	139	65	58	54	49	76	53	43	38	42	45	75	49	41	44	94	57	110	75
X16S_24	71	58	113	97	46	109	40	147	49	98	121	113	57	121	191	103	62	76	57	70	80	181	92	81
X16S_25	6	25	12	44	42	7	13	16	4	22	12	114	43	171	40	9	3	5	14	15	9	13	28	27
X16S_26	22	56	7	2	57	46	31	30	5	233	11	71	26	58	45	56	11	101	36	24	82	58	84	23
X16S_27	62	48	483	431	63	103	52	123	158	74	405	67	164	16	33	30	359	130	131	87	110	44	34	145
X16S_28	11	6	18	8	21	42	3	23	43	31	42	62	19	88	91	36	12	40	51	18	67	7	88	48
X16S_29	116	35	55	50	145	138	26	40	32	61	104	39	49	44	27	54	60	67	52	83	90	108	53	92
X16S_30	36	26	106	160	53	206	41	325	135	65	550	134	53	79	47	15	146	294	78	40	107	43	73	43
X16S_31	63	123	23	55	47	120	107	107	79	99	64	101	114	144	150	257	7	99	69	128	60	103	110	167
X16S_32	148	150	159	147	158	132	359	197	119	147	212	155	294	194	79	158	82	104	232	125	139	117	72	124
X16S_33	67	28	23	28	48	162	17	180	87	78	38	58	12	17	5	14	65	151	69	92	113	66	38	38
X16S_34	49	30	0	6	21	63	12	27	24	36	15	27	16	35	20	55	13	47	44	33	43	60	37	32
X16S_35	9	34	4	4	77	26	27	40	12	85	8	46	7	26	17	7	9	97	8	15	53	29	48	12
X16S_36	22	69	14	16	42	22	71	43	26	92	39	111	45	66	97	12	43	114	19	8	40	29	75	47
X16S_37	43	19	43	46	47	60	54	92	52	57	154	60	83	56	21	39	93	65	78	59	79	70	39	100
X16S_38	8	41	0	0	3	0	2	0	3	8	0	4	6	60	47	87	0	3	1	3	1	5	7	26
X16S_39	56	28	7	4	61	102	25	33	32	52	22	64	36	81	76	85	6	55	56	84	86	98	144	72
X16S_40	81	64	114	111	169	170	50	116	97	77	160	110	58	62	40	32	206	119	149	112	116	83	87	54
X16S_41	94	28	11	6	47	189	12	85	56	95	47	63	18	59	45	104	62	81	47	74	140	122	193	78
X16S_42	87	62	2	5	27	89	20	20	24	67	12	59	43	100	121	207	2	25	80	98	14	57	44	51
X16S_43	59	36	18	16	47	24	161	18	37	44	63	17	120	34	61	31	9	28	31	25	28	10	3	28
X16S_44	78	38	26	31	70	138	42	133	71	77	53	40	35	47	36	36	107	120	86	87	159	99	114	34
X16S_45	15	49	35	58	46	18	168	43	366	142	55	29	80	32	7	11	102	17	7	7	17	14	36	22
X16S_46	131	48	2	36	63	238	11	168	80	113	62	44	38	56	92	48	24	186	97	114	126	50	48	11
X16S_47	84	49	75	78	73	120	140	109	86	67	107	46	89	44	35	65	63	67	114	82	70	50	37	83
X16S_48	266	76	13	22	28	42	359	186	70	65	198	22	20	40	92	116	30	113	70	123	94	97	6	11
X16S_49	122	75	489	526	20	61	105	379	189	96	168	81	68	75	14	29	178	220	413	75	65	59	9	94
X16S_50	74	50	156	67	109	42	24	13	86	47	37	22	88	51	6	24	21	24	89	87	14	116	17	51
X16S_51	18	32	44	45	68	37	32	91	203	101	80	566	260	106	18	18	108	56	13	12	49	17	15	46
X16S_52	23	34	3	3	5	22	41	22	17	30	13	38	27	58	15	33	9	10	27	46	3	39	6	14
X16S_53	54	28	518	413	56	113	92	94	114	53	122	30	89	18	11	20	123	61	191	87	88	51	29	153
X16S_54	8	16	14	5	7	24	19	9	4	3	37	3	0	4	18	6	5	5	14	17	51	14	15	12
X16S_55	84	119	10	10	13	4	118	1	120	27	3	26	3	9	17	0	6	20	15	4	18	34	42	11
X16S_56	4	6	2	3	1	18	3	18	4	9	0	7	2	6	4	8	0	15	7	12	10	267	2	1
X16S_57	65	20	22	37	29	75	23	58	41	53	17	19	14	36	39	75	21	71	69	28	69	31	70	41
X16S_58	125	27	356	516	66	92	252	184	211	64	239	75	108	22	18	22	145	46	348	79	128	60	32	123
X16S_59	31	131	24	18	268	25	43	27	252	77	74	118	41	15	178	4	147	130	36	19	73	33	41	23
X16S_60	39	50	168	211	44	42	98	155	100	35	89	88	84	27	6	32	157	49	101	77	59	38	25	56
X16S_61	80	46	98	142	73	106	111	80	101	71	120	55	95	23	28	37	76	68	89	69	69	44	21	72
X16S_62	72	45	15	17	47	30	40	28	38	54	32	35	53	64	69	107	16	23	52	57	33	58	62	52
X16S_63	32	1	9	9	50	182	1	26	12	31	65	20	9	30	0	40	26	42	28	24	67	70	227	15
X16S_64	2	8	0	1	0	2	32	2	0	3	0	16	0	1	0	1	0	2	1	3	1	0	191	6
X16S_65	42	32	25	30	75	73	21	58	47	61	77	87	51	38	28	22	102	50	43	47	42	59	24	30
X16S_66	82	12	2	1	17	15	41	9	24	39	38	33	69	48	65	92	11	18	21	30	27	16	55	42
X16S_67	6	22	17	7	6	17	10	12	7	14	2	26	7	23	40	109	4	6	4	18	7	28	18	12
X16S_68	34	30	143	106	50	62	69	44	61	30	80	22	41	8	18	19	64	26	85	47	50	19	12	65
X16S_69	22	16	12	8	383	46	33	53	15	165	21	252	106	8	13	11	14	35	17	26	17	20	24	12
X16S_70	40	32	147	117	26	22	46	28	39	23	65	28	58	19	13	15	63	16	43	33	16	14	4	21
X16S_71	1	0	0	2	0	0	0	6	0	21	0	1	1	1	0	0	0	0	0	0	0	0	1	0
X16S_72	71	15	13	27	54	114	28	48	45	44	35	13	48	19	21	17	66	42	60	88	48	25	37	15
X16S_73	18	41	15	19	42	26	48	39	40	35	59	50	62	60	20	18	159	62	28	52	72	24	40	24
X16S_74	6	28	2	2	21	23	21	51	5	27	4	54	19	27	12	13	16	74	16	5	32	24	13	30
X16S_75	78	38	134	117	34	63	142	110	109	52	132	52	71	35	19	73	132	72	109	55	77	48	37	111
X16S_76	15	20	12	12	89	113	21	25	4	21	15	103	62	76	2	57	1	7	7	20	1	20	8	18
X16S_77	34	36	100	82	33	117	61	96	69	47	58	41	47	38	60	55	34	118	80	78	68	71	83	57
X16S_78	42	58	17	26	40	87	62	84	34	50	47	73	65	76	86	60	31	83	53	54	58	81	49	56
X16S_79	26	16	0	0	5	18	6	2	12	17	8	11	3	22	13	28	7	7	4	8	17	18	54	12
X16S_80	104	37	8	7	44	99	46	29	26	55	65	44	48	33	79	58	28	28	89	113	88	99	73	72
X16S_81	71	50	344	332	139	84	169	118	82	79	239	59	167	36	42	32	171	88	156	78	69	37	21	70
X16S_82	49	22	3	4	18	35	40	36	31	35	17	12	57	23	30	25	17	13	36	19	53	10	23	37
X16S_83	48	13	70	63	6	30	20	27	21	26	27	19	9	10	12	20	43	17	65	41	32	19	6	36
X16S_84	5	29	1	0	9	25	12	15	1	37	3	25	7	17	17	8	7	59	8	6	9	19	52	14
X16S_85	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
X16S_86	82	30	10	8	41	55	77	42	28	37	64	34	48	29	50	30	16	21	24	62	49	46	30	54
X16S_87	115	54	40	44	65	140	53	66	70	77	91	76	66	52	74	70	61	55	61	78	78	67	110	90
X16S_88	100	44	22	54	60	169	39	86	51	85	94	75	28	44	36	49	68	100	50	56	99	89	99	94
X16S_89	27	90	22	19	183	33	68	17	102	48	34	92	42	36	148	25	92	50	24	23	52	45	65	34
X16S_90	41	27	38	50	159	65	50	106	38	55	76	39	60	31	41	36	39	48	71	43	34	44	25	33
X16S_91	32	5	2	6	5	391	2	129	9	13	5	4	1	7	2	0	2	116	19	51	98	27	74	0
X16S_92	29	21	7	8	34	48	30	17	18	19	39	20	44	18	25	48	10	17	13	25	18	31	24	26
X16S_93	22	57	3	3	8	18	20	37	14	62	3	27	6	58	25	66	4	43	39	30	12	50	58	20
X16S_94	45	78	21	44	35	119	57	80	46	104	36	49	63	50	32	49	22	97	35	106	54	68	44	48
X16S_95	52	83	14	11	16	107	16	55	27	56	27	18	7	28	5	6	15	177	55	38	58	61	53	1
X16S_96	29	43	6	2	9	12	48	72	12	15	14	18	34	44	5	52	2	14	6	12	25	9	1	0
X16S_97	21	4	0	0	18	32	1	16	9	25	7	10	3	11	3	10	27	53	46	18	40	41	46	13
X16S_98	19	72	3	1	38	2	46	11	3	24	3	58	36	14	38	4	1	8	7	9	6	10	119	19
X16S_99	2	0	0	0	0	10	0	0	0	1	0	0	0	2	1	1	0	2	4	4	3	3	5	0
X16S_100	21	26	6	13	17	45	10	16	21	31	5	18	15	18	8	16	3	22	12	35	12	23	14	6
X16S_101	24	27	3	13	12	28	15	32	12	22	15	10	36	26	7	20	4	8	18	46	16	22	4	14
X16S_102	28	37	49	44	12	14	135	27	57	15	66	16	62	17	5	5	20	5	157	28	34	12	0	12
X16S_103	16	32	2	2	4	9	18	11	7	14	10	34	17	37	30	44	2	4	14	24	10	28	14	23
X16S_104	32	118	207	138	51	74	53	96	69	92	94	122	70	94	31	120	53	77	94	138	36	71	55	88
X16S_105	44	22	37	29	14	29	45	17	23	14	34	29	38	14	15	8	21	5	30	10	10	16	5	18
X16S_106	39	10	1	1	26	88	6	25	15	34	15	23	4	15	14	31	15	49	4	30	67	41	245	71
X16S_107	28	90	23	16	82	26	40	41	36	107	50	522	149	19	25	14	82	55	29	24	64	27	60	56
X16S_108	60	53	10	5	14	8	70	6	80	22	25	6	51	17	4	18	27	3	179	13	46	3	1	5
X16S_109	11	15	7	9	78	24	9	13	3	24	12	13	16	8	7	12	18	10	17	20	13	30	17	10
X16S_110	21	112	54	41	81	17	49	25	93	43	92	68	34	11	5	2	132	121	26	13	58	30	56	28
X16S_111	22	29	3	6	50	20	40	14	11	24	19	15	21	37	54	89	5	17	17	18	12	17	20	29
X16S_112	18	58	33	23	48	8	79	10	144	26	39	34	11	2	1	0	77	21	13	4	17	12	46	3
X16S_113	10	31	9	10	36	29	24	31	16	55	15	32	29	17	23	18	26	36	14	17	31	20	13	20
X16S_114	41	11	5	3	20	53	6	39	24	42	8	38	13	64	50	67	19	101	45	48	92	64	127	52
X16S_115	19	10	3	2	17	11	21	2	14	16	19	10	17	37	44	78	5	7	4	7	3	9	18	25
X16S_116	28	21	50	33	22	31	31	33	26	26	43	33	19	16	5	11	30	19	74	30	24	27	6	16
X16S_117	65	105	21	7	3	0	92	0	18	24	0	10	0	3	9	1	10	18	38	10	11	10	130	7
X16S_118	25	24	124	64	4	53	11	71	22	20	21	39	13	35	2	15	10	30	44	50	33	20	2	16
X16S_119	22	25	95	61	36	98	45	85	37	32	158	22	35	6	1	4	93	120	37	43	61	20	99	16
X16S_120	15	28	20	18	25	43	15	54	28	32	33	42	8	26	4	2	57	34	34	23	96	15	29	0
X16S_121	29	94	13	13	20	10	73	9	98	21	8	11	9	4	1	1	47	28	31	6	56	26	69	4
X16S_122	10	14	62	174	81	18	24	262	309	170	271	45	82	27	8	3	171	162	351	3	56	98	24	35
X16S_123	35	10	0	1	7	5	0	0	4	20	2	8	7	22	65	11	1	2	3	2	0	3	1	2
X16S_124	22	10	34	50	22	49	12	40	23	15	43	23	22	12	3	8	36	48	32	16	59	24	16	12
X16S_125	1	62	0	0	5	12	18	49	3	7	9	3	7	44	9	0	0	76	5	1	66	15	19	3
X16S_126	8	52	6	3	6	0	69	3	8	6	8	9	25	38	18	23	0	0	4	6	1	2	0	0
X16S_127	26	4	10	16	7	39	11	8	23	23	20	23	6	12	7	16	57	19	12	17	27	27	13	13
X16S_128	21	46	7	6	85	33	35	38	82	27	50	17	25	26	3	2	170	86	7	19	76	36	71	13
X16S_129	3	3	0	0	1	4	0	0	1	11	0	14	13	22	25	26	0	1	5	11	5	7	14	22
X16S_130	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X16S_131	86	64	28	47	114	120	52	87	60	64	106	75	54	29	21	35	76	136	50	58	125	110	150	66
